ROW,TAXON_NAME,TAXA_COARSE,NOTE
16778,Clione limacina,Clione limacina,
16837,Clione limacina,Clione limacina,
16898,Clione limacina,Clione limacina,
16952,Clione limacina,Clione limacina,
17000,Clione limacina,Clione limacina,
17049,Clione limacina,Clione limacina,
17050,Clione limacina,Clione limacina,
17120,Clione limacina,Clione limacina,
17121,Clione limacina,Clione limacina,
17255,Clione limacina,Clione limacina,
17451,Clione limacina,Clione limacina,
17535,Clione limacina,Clione limacina,
17536,Clione limacina,Clione limacina,
17611,Clione limacina,Clione limacina,
17680,Clione limacina,Clione limacina,
18043,Clione limacina,Clione limacina,
18134,Clione limacina,Clione limacina,
18220,Clione limacina,Clione limacina,
18395,Clione limacina,Clione limacina,
18482,Clione limacina,Clione limacina,
18483,Clione limacina,Clione limacina,
18586,Clione limacina,Clione limacina,
18587,Clione limacina,Clione limacina,
18681,Clione limacina,Clione limacina,
18767,Clione limacina,Clione limacina,
18768,Clione limacina,Clione limacina,
18844,Clione limacina,Clione limacina,
18845,Clione limacina,Clione limacina,
18933,Clione limacina,Clione limacina,
19011,Clione limacina,Clione limacina,
19095,Clione limacina,Clione limacina,
19203,Clione limacina,Clione limacina,
19313,Clione limacina,Clione limacina,
19412,Clione limacina,Clione limacina,
19504,Clione limacina,Clione limacina,
19615,Clione limacina,Clione limacina,
19781,Clione limacina,Clione limacina,
19878,Clione limacina,Clione limacina,
19927,Clione limacina,Clione limacina,
19978,Clione limacina,Clione limacina,
20053,Clione limacina,Clione limacina,
20139,Clione limacina,Clione limacina,
20187,Clione limacina,Clione limacina,
20231,Clione limacina,Clione limacina,
20296,Clione limacina,Clione limacina,
20362,Clione limacina,Clione limacina,
20425,Clione limacina,Clione limacina,
20491,Clione limacina,Clione limacina,
20492,Clione limacina,Clione limacina,
20553,Clione limacina,Clione limacina,
20554,Clione limacina,Clione limacina,
20628,Clione limacina,Clione limacina,
20694,Clione limacina,Clione limacina,
20756,Clione limacina,Clione limacina,
20816,Clione limacina,Clione limacina,
20871,Clione limacina,Clione limacina,
20872,Clione limacina,Clione limacina,
20923,Clione limacina,Clione limacina,
20974,Clione limacina,Clione limacina,
21166,Clione limacina,Clione limacina,
21261,Clione limacina,Clione limacina,
